Line 27 x;Line 27 y
2,018502943650E-2;9,933873558768E-1
1,009251471825E-1;9,933918058392E-1
1,211101766190E-1;9,920701670071E-1
2,422203532380E-1;9,920768419507E-1
3,431455004205E-1;9,934051557264E-1
4,238856181665E-1;9,934096056888E-1
5,248107653490E-1;9,934151681418E-1
6,459209419680E-1;9,934218430854E-1
7,059546743580E-1;9,924399178210E-1
7,228890755533E-1;9,940404409950E-1
7,919622474657E-1;9,896472333888E-1
8,070870437349E-1;9,875370882972E-1
8,202144312223E-1;9,855499288943E-1
8,470438686753E-1;9,811799056339E-1
8,528014807999E-1;9,796117304537E-1
8,707683462915E-1;9,774000375338E-1
9,234332490623E-1;9,753849007240E-1
9,548160297917E-1;9,746305441322E-1
9,806606727453E-1;9,744202644025E-1
1,006505315699E0;9,744216888206E-1
1,032349958652E0;9,744231132388E-1
1,058194601606E0;9,744245376569E-1
1,091792637446E0;9,744263894005E-1
1,126805975161E0;9,744018561295E-1
1,152755327791E0;9,738958145882E-1
1,177503925800E0;9,726593453777E-1
1,192091023541E0;9,712306704837E-1
1,199165381353E0;9,695703824570E-1
1,200609352881E0;9,677225414411E-1
1,211861653645E0;9,647078961352E-1
1,230954872312E0;9,633243333878E-1
1,264926105708E0;9,619168236066E-1
1,307462080569E0;9,609933823624E-1
1,334510116375E0;9,600801069449E-1
1,356750574427E0;9,586493293793E-1
1,367612410300E0;9,569583568959E-1
1,368330317049E0;9,541180324791E-1
1,374976082380E0;9,511142160883E-1
1,415096813822E0;9,466807213725E-1
1,425131269937E0;9,418933442863E-1
1,436401292256E0;9,402915394985E-1
1,451136664954E0;9,389957392513E-1
1,499278683489E0;9,359459222218E-1
1,516197352533E0;9,347025047523E-1
1,522680268022E0;9,332560388432E-1
1,523398174770E0;8,824858953484E-1
1,523398174770E0;8,846876184863E-1
1,523398174770E0;8,863812516693E-1
1,523398174770E0;8,880748848522E-1
1,523398174770E0;8,897685180352E-1
1,523398174770E0;8,914621512182E-1
1,523398174770E0;8,931557844011E-1
1,523398174770E0;8,948494175841E-1
1,523398174770E0;8,965430507671E-1
1,523398174770E0;8,982366839500E-1
1,523398174770E0;8,999303171330E-1
1,523398174770E0;9,016239503160E-1
1,523398174770E0;9,033175834989E-1
1,523398174770E0;9,050112166819E-1
1,523398174770E0;9,067048498649E-1
1,523398174770E0;9,083984830479E-1
1,523398174770E0;9,100921162308E-1
1,523398174770E0;9,117857494138E-1
1,523398174770E0;9,134793825968E-1
1,523398174770E0;9,151730157797E-1
1,523398174770E0;9,168666489627E-1
1,523398174770E0;9,185602821457E-1
1,523398174770E0;9,202539153286E-1
1,523398174770E0;9,219475485116E-1
1,523398174770E0;9,236411816946E-1
1,523398174770E0;9,253348148776E-1
1,523398174770E0;9,270284480605E-1
1,523398174770E0;9,287220812435E-1
1,523398174770E0;9,309238043814E-1
1,526358561145E0;8,795740358787E-1
1,545676162327E0;8,778824628038E-1
1,608819754403E0;8,759252697309E-1
1,627979473475E0;8,748668274065E-1
1,646652507713E0;8,729579368923E-1
1,653913621686E0;8,705670883300E-1
1,663848409370E0;8,686524165571E-1
1,678754199257E0;8,675326166391E-1
1,722401925513E0;8,664073481300E-1
1,755999961353E0;8,660704732370E-1
1,781844604306E0;8,660718976551E-1
1,807689247260E0;8,660733220733E-1
1,833533890213E0;8,660747464914E-1
1,859378533167E0;8,660761709096E-1
1,885223176120E0;8,660775953277E-1
1,911067819074E0;8,660790197459E-1
1,936912462028E0;8,660804441641E-1
1,962757104981E0;8,660818685822E-1
1,988601747935E0;8,660832930004E-1
2,022199783774E0;8,660851447440E-1
2,062228212920E0;8,660238396520E-1
2,087281242530E0;8,653661200301E-1
2,115168895995E0;8,639882167662E-1
2,139166372414E0;8,619168496719E-1
2,143669605656E0;8,600334884681E-1
2,145431740403E0;8,564986532873E-1
2,166371774978E0;8,541337309596E-1
2,213450141631E0;8,528853466111E-1
2,254801570357E0;8,525488990436E-1
2,291250721570E0;8,524803398761E-1
2,316606548611E0;8,517109876201E-1
2,337180282034E0;8,504757448713E-1
2,351153629868E0;8,482301522322E-1
2,354052178366E0;8,459901292599E-1
2,369613880936E0;8,439926887673E-1
2,394866324533E0;8,423036662296E-1
2,430473351766E0;8,409574570178E-1
2,451309904852E0;8,400315772985E-1
2,473384596064E0;8,383897770172E-1
2,479649964053E0;8,339313264688E-1
2,479649964053E0;8,366746593850E-1
2,480531031426E0;8,307205287858E-1
2,499390606668E0;8,283322534514E-1
2,581644001423E0;8,264768969083E-1
2,608873178821E0;8,263523832609E-1
2,634717821774E0;8,263185236544E-1
2,661946999172E0;8,263200243806E-1
2,690791466754E0;8,263216141330E-1
2,734253634555E0;8,261007578879E-1
2,764951251825E0;8,247349182930E-1
2,782912851950E0;8,231903747472E-1
2,789785679496E0;7,961803995064E-1
2,789785679496E0;7,983821226443E-1
2,789785679496E0;8,000757558273E-1
2,789785679496E0;8,017693890102E-1
2,789785679496E0;8,034630221932E-1
2,789785679496E0;8,051566553762E-1
2,789785679496E0;8,068502885591E-1
2,789785679496E0;8,085439217421E-1
2,789785679496E0;8,102375549251E-1
2,789785679496E0;8,119311881080E-1
2,789785679496E0;8,136248212910E-1
2,789785679496E0;8,153184544740E-1
2,789785679496E0;8,170120876570E-1
2,789785679496E0;8,192138107948E-1
2,789785679496E0;8,214490537561E-1
2,792746065870E0;7,932685400367E-1
2,812063667053E0;7,915769669618E-1
2,865012050950E0;7,900390766025E-1
